;Primary Server Requests;;Secondary Server;;Primary Server Sockets;;;Secondary Server Sockets;;;Primary Server;;Secondary Server
time;requests;time;requests;time;allocated;timewait;time;allocated;timewait;time;Bad Request;time;Bad Request
08:24:16;0.9638958;08:24:16;10.012.296;08:24:16;28;0;08:24:16;16;3;08:24:16;0;08:24:16;0
08:24:17;10.005.092;08:24:17;0.9998139;08:24:17;28;0;08:24:17;16;3;08:24:17;0;08:24:17;0
08:24:18;10.007.755;08:24:18;0.9998406;08:24:18;28;0;08:24:18;16;3;08:24:18;0;08:24:18;0
08:24:19;0.9965826;08:24:19;10.000.175;08:24:19;28;0;08:24:19;16;3;08:24:19;0;08:24:19;0
08:24:20;10.015.581;08:24:20;10.005.419;08:24:20;28;0;08:24:20;16;3;08:24:20;0;08:24:20;0
08:24:21;10.033.797;08:24:21;0.9998209;08:24:21;28;0;08:24:21;16;3;08:24:21;0;08:24:21;0
08:24:22;0.9993687;08:24:22;0.9994258;08:24:22;21;0;08:24:22;16;3;08:24:22;0;08:24:22;0
08:24:23;10.001.235;08:24:23;10.003.556;08:24:23;21;0;08:24:23;16;3;08:24:23;0;08:24:23;0
08:24:24;0.999817;08:24:24;0.9995801;08:24:24;21;0;08:24:24;16;3;08:24:24;0;08:24:24;0
08:24:25;0.9996042;08:24:25;10.005.983;08:24:25;21;0;08:24:25;16;3;08:24:25;0;08:24:25;0
08:24:26;10.002.667;08:24:26;0.99974;08:24:26;21;0;08:24:26;16;3;08:24:26;0;08:24:26;0
08:24:27;0.9986166;08:24:27;0.9996553;08:24:27;21;0;08:24:27;16;3;08:24:27;0;08:24:27;0
08:24:28;10.012.108;08:24:28;0.9995608;08:24:28;21;0;08:24:28;16;3;08:24:28;0;08:24:28;0
08:24:29;10.003.097;08:24:29;0.9992585;08:24:29;21;0;08:24:29;16;3;08:24:29;0;08:24:29;0
08:24:30;0.9988602;08:24:30;10.019.991;08:24:30;21;0;08:24:30;16;3;08:24:30;0;08:24:30;0
08:24:31;10.003.211;08:24:31;0.9999156;08:24:31;21;0;08:24:31;16;3;08:24:31;0;08:24:31;0
08:24:32;0.9967094;08:24:32;0.9996835;08:24:32;21;0;08:24:32;16;3;08:24:32;0;08:24:32;0
08:24:33;14.310.729;08:24:33;0.9963542;08:24:33;21;0;08:24:33;16;3;08:24:33;0;08:24:33;0
