;Primary Server Requests;;Secondary Server;;Primary Server Sockets;;;Secondary Server Sockets;;;Primary Server;;Secondary Server
time;requests;time;requests;time;allocated;timewait;time;allocated;timewait;time;Bad Request;time;Bad Request
08:46:52;0.9629394;08:46:52;0.9995046;08:46:52;28;0;08:46:52;11;2;08:46:52;0;08:46:52;0
08:46:53;0.9980046;08:46:53;0.9997856;08:46:53;28;0;08:46:53;11;2;08:46:53;0;08:46:53;0
08:46:54;10.057.826;08:46:54;10.004.647;08:46:54;28;0;08:46:54;11;2;08:46:54;0;08:46:54;0
08:46:55;0.9992808;08:46:55;10.010.306;08:46:55;28;0;08:46:55;11;2;08:46:55;0;08:46:55;0
08:46:56;0.9997487;08:46:56;0.9987422;08:46:56;28;0;08:46:56;11;2;08:46:56;0;08:46:56;0
08:46:57;0.9982863;08:46:57;0.9994073;08:46:57;19;0;08:46:57;11;1;08:46:57;0;08:46:57;0
08:46:58;0.9968103;08:46:58;0.9992964;08:46:58;19;0;08:46:58;11;1;08:46:58;0;08:46:58;0
08:46:59;10.012.328;08:46:59;0.9978878;08:46:59;21;0;08:46:59;11;1;08:46:59;0;08:46:59;0
08:47:00;10.026.626;08:47:00;10.028.702;08:47:00;21;0;08:47:00;11;1;08:47:00;0;08:47:00;0
08:47:01;10.019.951;08:47:01;10.009.885;08:47:01;21;0;08:47:01;11;1;08:47:01;0;08:47:01;0
08:47:02;0.9920167;08:47:02;0.9993597;08:47:02;21;0;08:47:02;11;1;08:47:02;0;08:47:02;0
08:47:03;0.9971911;08:47:03;0.9975306;08:47:03;21;0;08:47:03;11;1;08:47:03;0;08:47:03;0
08:47:04;1.010.225;08:47:04;0.9989763;08:47:04;21;0;08:47:04;11;1;08:47:04;0;08:47:04;0
08:47:05;0.9993635;08:47:05;10.013.582;08:47:05;21;0;08:47:05;11;1;08:47:05;0;08:47:05;0
08:47:06;10.001.953;08:47:06;10.024.685;08:47:06;21;0;08:47:06;11;1;08:47:06;0;08:47:06;0
08:47:07;10.009.325;08:47:07;0.9984778;08:47:07;21;0;08:47:07;11;1;08:47:07;0;08:47:07;0
08:47:08;0.9956887;08:47:08;0.9999105;08:47:08;21;0;08:47:08;11;1;08:47:08;0;08:47:08;0
08:47:09;0.9992327;08:47:09;0.9990921;08:47:09;21;0;08:47:09;28;2;08:47:09;0;08:47:09;0
08:47:10;10.056.347;08:47:10;10.009.984;08:47:10;21;0;08:47:10;28;2;08:47:10;0;08:47:10;0
