;Primary Server Requests;;Secondary Server;;Primary Server Sockets;;;Secondary Server Sockets;;;Primary Server;;Secondary Server
time;requests;time;requests;time;allocated;timewait;time;allocated;timewait;time;Bad Request;time;Bad Request
09:51:26;0.9972344;09:51:26;0.9999392;09:51:26;30;0;09:51:26;31;1;09:51:26;0;09:51:26;0
09:51:27;0.9953764;09:51:27;10.002.783;09:51:27;29;0;09:51:27;31;1;09:51:27;0;09:51:27;0
09:51:28;1.001.744;09:51:28;0.9996472;09:51:28;28;0;09:51:28;31;1;09:51:28;0;09:51:28;0
09:51:29;10.034.208;09:51:29;0.9996691;09:51:29;30;0;09:51:29;31;1;09:51:29;0;09:51:29;0
09:51:30;0.9982423;09:51:30;10.011.609;09:51:30;30;0;09:51:30;31;1;09:51:30;0;09:51:30;0
09:51:31;10.019.109;09:51:31;10.003.065;09:51:31;30;0;09:51:31;31;1;09:51:31;0;09:51:31;0
09:51:32;10.022.063;09:51:32;0.9995512;09:51:32;28;0;09:51:32;31;1;09:51:32;0;09:51:32;0
09:51:33;10.013.881;09:51:33;0.9991466;09:51:33;28;0;09:51:33;31;1;09:51:33;0;09:51:33;0
09:51:34;0.9928871;09:51:34;0.9998047;09:51:34;29;0;09:51:34;31;1;09:51:34;0;09:51:34;0
09:51:35;0.9775132;09:51:35;1.000.922;09:51:35;30;0;09:51:35;31;1;09:51:35;0;09:51:35;0
09:51:36;1.000.252;09:51:36;10.000.819;09:51:36;28;0;09:51:36;31;1;09:51:36;0;09:51:36;0
09:51:37;10.276.651;09:51:37;10.004.468;09:51:37;28;0;09:51:37;31;1;09:51:37;0;09:51:37;0
09:51:38;10.002.539;09:51:38;0.9993897;09:51:38;30;0;09:51:38;31;1;09:51:38;0;09:51:38;0
09:51:39;10.010.088;09:51:39;0.9986741;09:51:39;30;0;09:51:39;31;0;09:51:39;0;09:51:39;0
09:51:40;0.9975879;09:51:40;0.998287;09:51:40;28;0;09:51:40;31;0;09:51:40;0;09:51:40;0
09:51:41;0.9952932;09:51:41;0.9988054;09:51:41;28;0;09:51:41;31;0;09:51:41;0;09:51:41;0
09:51:42;10.002.123;09:51:42;1.001.768;09:51:42;28;0;09:51:42;31;0;09:51:42;0;09:51:42;0
09:51:43;10.055.241;09:51:43;0.9982284;09:51:43;29;0;09:51:43;31;0;09:51:43;0;09:51:43;0
09:51:44;10.020.051;09:51:44;10.036.612;09:51:44;28;0;09:51:44;31;0;09:51:44;0;09:51:44;0
09:51:45;0.9996856;09:51:45;0.9995557;09:51:45;30;0;09:51:45;31;0;09:51:45;0;09:51:45;0
09:51:46;0.9994656;09:51:46;0.9997739;09:51:46;30;0;09:51:46;31;0;09:51:46;0;09:51:46;0
09:51:47;0.9938151;09:51:47;10.011.648;09:51:47;28;0;09:51:47;31;0;09:51:47;0;09:51:47;0
09:51:48;0.994454;09:51:48;0.9999332;09:51:48;30;0;09:51:48;31;0;09:51:48;0;09:51:48;0
09:51:49;10.108.345;09:51:49;10.001.235;09:51:49;30;0;09:51:49;31;0;09:51:49;0;09:51:49;0
