;Primary Server Requests;;Secondary Server;;Primary Server Sockets;;;Secondary Server Sockets;;;Primary Server;;Secondary Server
time;requests;time;requests;time;allocated;timewait;time;allocated;timewait;time;Bad Request;time;Bad Request
09:25:18;0.987305;09:25:18;0;09:25:18;28;0;09:25:18;30;9;09:25:18;0;09:25:18;0
09:25:19;0.9649555;09:25:19;0;09:25:19;28;0;09:25:19;30;9;09:25:19;0;09:25:19;0
09:25:20;10.032.186;09:25:20;0;09:25:20;30;0;09:25:20;30;9;09:25:20;0;09:25:20;0
09:25:21;0.9987733;09:25:21;0;09:25:21;21;0;09:25:21;30;9;09:25:21;0;09:25:21;0
09:25:22;0.998738;09:25:22;0;09:25:22;21;0;09:25:22;30;9;09:25:22;0;09:25:22;0
09:25:23;10.001.917;09:25:23;0;09:25:23;21;0;09:25:23;30;9;09:25:23;0;09:25:23;0
09:25:24;0.9956781;09:25:24;0;09:25:24;21;0;09:25:24;30;9;09:25:24;0;09:25:24;0
09:25:25;0.997305;09:25:25;0;09:25:25;21;0;09:25:25;30;9;09:25:25;0;09:25:25;0
09:25:26;10.065.787;09:25:26;0;09:25:26;21;0;09:25:26;30;9;09:25:26;0;09:25:26;0
09:25:27;0.9995561;09:25:27;0;09:25:27;21;0;09:25:27;30;9;09:25:27;0;09:25:27;0
09:25:28;0.9946644;09:25:28;0;09:25:28;21;0;09:25:28;30;9;09:25:28;0;09:25:28;0
09:25:29;1.002.404;09:25:29;0;09:25:29;21;0;09:25:29;30;9;09:25:29;0;09:25:29;0
09:25:30;10.033.953;09:25:30;0;09:25:30;21;0;09:25:30;30;9;09:25:30;0;09:25:30;0
09:25:31;0.9978276;09:25:31;0;09:25:31;21;0;09:25:31;30;9;09:25:31;0;09:25:31;0
09:25:32;0.9860261;09:25:32;0;09:25:32;21;0;09:25:32;30;9;09:25:32;0;09:25:32;0
09:25:33;0.9874926;09:25:33;0;09:25:33;21;0;09:25:33;30;9;09:25:33;0;09:25:33;0
09:25:34;10.190.654;09:25:34;0;09:25:34;21;0;09:25:34;30;9;09:25:34;0;09:25:34;0
09:25:35;10.122.961;09:25:35;0;09:25:35;21;0;09:25:35;30;9;09:25:35;0;09:25:35;0
09:25:36;0.9935827;09:25:36;0;09:25:36;21;0;09:25:36;30;9;09:25:36;0;09:25:36;0
09:25:37;0.9978695;09:25:37;0;09:25:37;21;0;09:25:37;30;9;09:25:37;0;09:25:37;0
09:25:38;10.087.862;09:25:38;0;09:25:38;21;0;09:25:38;21;9;09:25:38;0;09:25:38;0
09:25:39;10.001.303;09:25:39;0;09:25:39;21;0;09:25:39;21;9;09:25:39;0;09:25:39;0
09:25:40;0.994686;09:25:40;0;09:25:40;21;0;09:25:40;21;9;09:25:40;0;09:25:40;0
09:25:41;0.9974156;09:25:41;0;09:25:41;21;0;09:25:41;21;9;09:25:41;0;09:25:41;0
09:25:42;10.060.712;09:25:42;0;09:25:42;21;0;09:25:42;21;9;09:25:42;0;09:25:42;0
09:25:43;10.013.643;09:25:43;0;09:25:43;21;0;09:25:43;21;9;09:25:43;0;09:25:43;0
09:25:44;10.003.463;09:25:44;0;09:25:44;21;0;09:25:44;21;9;09:25:44;0;09:25:44;0
