;Primary Server Requests;;Secondary Server;;Primary Server Sockets;;;Secondary Server Sockets;;;Primary Server;;Secondary Server
time;requests;time;requests;time;allocated;timewait;time;allocated;timewait;time;Bad Request;time;Bad Request
21:14:09;10.028.406;21:14:09;10.020.181;21:14:09;11;0;21:14:09;31;0;21:14:09;0;21:14:09;0
21:14:10;10.004.312;21:14:10;10.001.538;21:14:10;11;0;21:14:10;31;0;21:14:10;0;21:14:10;0
21:14:11;0.9992111;21:14:11;0.9999876;21:14:11;11;0;21:14:11;31;0;21:14:11;0;21:14:11;0
21:14:12;0.9991534;21:14:12;1.000.013;21:14:12;11;0;21:14:12;31;0;21:14:12;0;21:14:12;0
21:14:13;10.009.379;21:14:13;10.002.227;21:14:13;11;0;21:14:13;31;0;21:14:13;0;21:14:13;0
21:14:14;0.9995233;21:14:14;0.9996951;21:14:14;11;0;21:14:14;31;0;21:14:14;0;21:14:14;0
21:14:15;10.007.012;21:14:15;10.005.066;21:14:15;11;0;21:14:15;31;0;21:14:15;0;21:14:15;0
21:14:16;0.9980591;21:14:16;0.9995506;21:14:16;11;0;21:14:16;31;0;21:14:16;0;21:14:16;0
21:14:17;10.015.143;21:14:17;0.9999094;21:14:17;11;0;21:14:17;31;0;21:14:17;0;21:14:17;0
21:14:18;10.004.712;21:14:18;0.9980277;21:14:18;11;0;21:14:18;31;0;21:14:18;0;21:14:18;0
21:14:19;10.000.432;21:14:19;0.9998376;21:14:19;11;0;21:14:19;31;0;21:14:19;0;21:14:19;0
21:14:20;0.9971035;21:14:20;10.019.948;21:14:20;11;0;21:14:20;31;0;21:14:20;0;21:14:20;0
21:14:21;0.9935775;21:14:21;0.9990998;21:14:21;11;0;21:14:21;31;0;21:14:21;0;21:14:21;0
21:14:22;10.096.359;21:14:22;10.009.823;21:14:22;11;0;21:14:22;31;0;21:14:22;0;21:14:22;0
21:14:23;0.9991202;21:14:23;10.002.745;21:14:23;11;0;21:14:23;31;0;21:14:23;0;21:14:23;0
21:14:24;0.993879;21:14:24;0.9995371;21:14:24;11;0;21:14:24;31;0;21:14:24;0;21:14:24;0
21:14:25;0.986357;21:14:25;1.000.545;21:14:25;11;0;21:14:25;31;0;21:14:25;0;21:14:25;0
21:14:26;10.165.579;21:14:26;0.9996664;21:14:26;11;0;21:14:26;31;0;21:14:26;0;21:14:26;0
21:14:27;10.016.593;21:14:27;0.9999499;21:14:27;11;0;21:14:27;31;0;21:14:27;0;21:14:27;0
21:14:28;0.9981153;21:14:28;0.9995756;21:14:28;9;0;21:14:28;31;0;21:14:28;0;21:14:28;0
21:14:29;1.004.037;21:14:29;10.005.738;21:14:29;11;0;21:14:29;31;0;21:14:29;0;21:14:29;0
21:14:30;0.9997594;21:14:30;0.9980051;21:14:30;11;0;21:14:30;31;0;21:14:30;0;21:14:30;0
21:14:31;0.9984859;21:14:31;10.020.329;21:14:31;11;0;21:14:31;31;0;21:14:31;0;21:14:31;0
21:14:32;10.022.808;21:14:32;0.998738;21:14:32;11;0;21:14:32;31;0;21:14:32;0;21:14:32;0
21:14:33;0.9990236;21:14:33;10.009.346;21:14:33;11;0;21:14:33;31;0;21:14:33;0;21:14:33;0
21:14:34;0.9974867;21:14:34;0.9998248;21:14:34;17;0;21:14:34;31;1;21:14:34;0;21:14:34;0
21:14:35;10.017.456;21:14:35;0.9996999;21:14:35;17;0;21:14:35;29;1;21:14:35;0;21:14:35;0
21:14:36;10.007.783;21:14:36;0.9998636;21:14:36;21;0;21:14:36;29;1;21:14:36;0;21:14:36;0
21:14:37;0.9990755;21:14:37;10.004.658;21:14:37;21;0;21:14:37;29;1;21:14:37;0;21:14:37;0
21:14:38;0.9996495;21:14:38;10.007.043;21:14:38;21;0;21:14:38;29;1;21:14:38;0;21:14:38;0
21:14:39;0.9985952;21:14:39;0.9973706;21:14:39;21;0;21:14:39;29;1;21:14:39;0;21:14:39;0
21:14:40;10.012.196;21:14:40;10.009.845;21:14:40;21;0;21:14:40;29;2;21:14:40;0;21:14:40;0
21:14:41;0.9970405;21:14:41;10.006.035;21:14:41;21;0;21:14:41;27;2;21:14:41;0;21:14:41;0
