time,alloc,orphan,inuse,timewait
2022-10-02 16:27:19,34,0,6,5
2022-10-02 16:27:20,34,0,6,5
2022-10-02 16:27:21,34,0,6,5
2022-10-02 16:27:22,34,0,6,5
2022-10-02 16:27:23,34,0,6,5
2022-10-02 16:27:24,34,0,6,5
2022-10-02 16:27:25,27,0,8,14
2022-10-02 16:27:26,27,0,8,14
2022-10-02 16:27:27,27,0,8,14
2022-10-02 16:27:28,27,0,8,14
2022-10-02 16:27:29,27,0,8,14
2022-10-02 16:27:30,27,0,8,14
2022-10-02 16:27:31,27,0,8,14
2022-10-02 16:27:32,27,0,8,13
2022-10-02 16:27:33,27,0,8,13
2022-10-02 16:27:34,27,0,8,13
2022-10-02 16:27:35,27,0,8,13
2022-10-02 16:27:36,27,0,8,13
2022-10-02 16:27:37,27,0,8,13
2022-10-02 16:27:38,27,0,8,13
2022-10-02 16:27:39,27,0,8,13
2022-10-02 16:27:40,27,0,8,13
2022-10-02 16:27:41,27,0,8,13
2022-10-02 16:27:42,27,0,8,13
2022-10-02 16:27:43,27,0,8,13
2022-10-02 16:27:44,27,0,8,13
2022-10-02 16:27:45,27,0,8,13
2022-10-02 16:27:46,27,0,8,13
2022-10-02 16:27:47,27,0,8,13
2022-10-02 16:27:48,27,0,8,13
2022-10-02 16:27:49,27,0,8,13
2022-10-02 16:27:50,27,0,8,13
2022-10-02 16:27:51,27,0,8,13
2022-10-02 16:27:52,27,0,8,13
2022-10-02 16:27:53,27,0,8,13
2022-10-02 16:27:54,27,0,8,13
2022-10-02 16:27:55,27,0,8,13
2022-10-02 16:27:56,27,0,8,13
2022-10-02 16:27:57,27,0,8,13
2022-10-02 16:27:58,27,0,8,13
2022-10-02 16:27:59,27,0,8,13
2022-10-02 16:28:00,27,0,8,13
2022-10-02 16:28:01,27,0,8,13
2022-10-02 16:28:02,27,0,8,13
2022-10-02 16:28:03,27,0,8,13
2022-10-02 16:28:04,27,0,8,13
2022-10-02 16:28:05,27,0,8,13
2022-10-02 16:28:06,27,0,8,13
2022-10-02 16:28:07,27,0,8,13
2022-10-02 16:28:08,27,0,8,13
2022-10-02 16:28:09,27,0,8,13
2022-10-02 16:28:10,27,0,8,13
2022-10-02 16:28:11,27,0,8,13
2022-10-02 16:28:12,27,0,8,13
2022-10-02 16:28:13,27,0,8,9
2022-10-02 16:28:14,27,0,8,9
2022-10-02 16:28:15,27,0,8,9
2022-10-02 16:28:16,27,0,8,9
2022-10-02 16:28:17,27,0,8,9
2022-10-02 16:28:18,27,0,8,9
2022-10-02 16:28:19,27,0,8,9
2022-10-02 16:28:20,27,0,8,9
2022-10-02 16:28:21,27,0,8,9
2022-10-02 16:28:22,27,0,8,9
2022-10-02 16:28:23,27,0,8,9
2022-10-02 16:28:24,27,0,8,9
2022-10-02 16:28:25,27,0,8,9
2022-10-02 16:28:26,27,0,8,0
2022-10-02 16:28:27,27,0,8,0
2022-10-02 16:28:28,27,0,8,0
2022-10-02 16:28:29,27,0,8,0
2022-10-02 16:28:30,27,0,8,0
2022-10-02 16:28:31,27,0,8,0
2022-10-02 16:28:32,27,0,8,0
2022-10-02 16:28:33,27,0,8,0
2022-10-02 16:28:34,27,0,8,0
2022-10-02 16:28:35,27,0,8,0
2022-10-02 16:28:36,27,0,8,0
2022-10-02 16:28:37,31,0,12,0
2022-10-02 16:28:38,31,0,12,0
2022-10-02 16:28:39,31,0,12,0
2022-10-02 16:28:40,31,0,12,0
2022-10-02 16:28:41,31,0,12,0
2022-10-02 16:28:42,33,0,14,0
2022-10-02 16:28:43,33,0,14,0
2022-10-02 16:28:44,33,0,14,0
2022-10-02 16:28:45,33,0,14,0
2022-10-02 16:28:46,33,0,14,0
2022-10-02 16:28:47,33,0,14,0
2022-10-02 16:28:48,33,0,14,0
2022-10-02 16:28:49,33,0,14,0
2022-10-02 16:28:50,33,0,14,0
2022-10-02 16:28:51,33,0,14,0
2022-10-02 16:28:52,33,0,14,0
2022-10-02 16:28:53,33,0,14,0
2022-10-02 16:28:54,33,0,14,0
2022-10-02 16:28:55,33,0,14,0
2022-10-02 16:28:56,33,0,14,0
2022-10-02 16:28:57,33,0,14,0
2022-10-02 16:28:58,33,0,14,1
2022-10-02 16:28:59,33,0,14,1
2022-10-02 16:29:00,33,0,14,1
2022-10-02 16:29:01,33,0,14,1
2022-10-02 16:29:02,33,0,14,1
2022-10-02 16:29:03,33,0,14,1
2022-10-02 16:29:04,33,0,14,1
2022-10-02 16:29:05,33,0,14,1
2022-10-02 16:29:06,33,0,14,1
2022-10-02 16:29:07,33,0,14,1
